rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/iterations,time/total_timesteps,time/fps,train/explained_variance,train/clip_fraction,train/clip_range,train/policy_gradient_loss,train/loss,train/n_updates,train/entropy_loss,train/learning_rate,train/value_loss,train/std,train/approx_kl
1000.0,1284.96583643,127,69,1130496,8857,0.8850288391113281,0.3581912878787879,0.2,-0.00031539274972270835,-0.03297879919409752,1564,3.931140312040695,0.0003,0.0024182741286825726,0.17507244646549225,0.037304226
1000.0,1278.8535078300001,129,70,1146880,8863,0.8088945150375366,0.3415336879432624,0.2,0.003557941747551903,-0.0023225992918014526,1567,3.942603792704589,0.0003,0.00428048486108,0.17484967410564423,0.035680745
1000.0,1280.64050158,131,71,1163264,8865,0.8619572520256042,0.34421641791044777,0.2,-0.0007420739735851981,-0.0222445297986269,1571,3.9573508246028006,0.0003,0.0031486748849778477,0.1746484488248825,0.03319247
1000.0,1277.99502815,133,72,1179648,8868,0.8542786240577698,0.35802722953216376,0.2,0.0032170214526878113,0.02707008272409439,1574,3.9728789538667915,0.0003,0.0017204903296265772,0.17443610727787018,0.032082606
1000.0,1280.82243875,134,73,1196032,8872,0.8484493494033813,0.3692525875796178,0.2,0.00422469199231713,0.00885430071502924,1577,3.9890180211158315,0.0003,0.004006489355022171,0.17396514117717743,0.032289904
1000.0,1278.66079279,136,74,1212416,8875,0.8962973952293396,0.35606496710526314,0.2,0.00031567867110042193,-0.01611662097275257,1580,4.019827094830965,0.0003,0.002787304167194586,0.1737777441740036,0.030977832
1000.0,1282.52941077,138,75,1228800,8858,0.8644012212753296,0.36904761904761907,0.2,-0.009820729006259214,-0.043057963252067566,1586,4.021062729850648,0.0003,0.0030738988333189536,0.17379391193389893,0.03351371
1000.0,1279.98211351,140,76,1245184,8869,0.8529887199401855,0.3240559895833333,0.2,0.007263742363041577,0.0415065661072731,1588,4.033189232150714,0.0003,0.004386499739969925,0.1735786348581314,0.030920744
1000.0,1280.39043144,142,77,1261568,8871,0.8277192115783691,0.36138091216216217,0.2,0.002018631911660368,0.013698838651180267,1591,4.047751748884046,0.0003,0.004895594030165592,0.1733868271112442,0.030355446
1000.0,1280.08884375,144,78,1277952,8871,0.9167666435241699,0.36692562849162014,0.2,-0.0005457992041119317,0.009096484631299973,1594,4.05826483358884,0.0003,0.001990963412219835,0.17325793206691742,0.034317214
1000.0,1286.37135766,145,79,1294336,8871,0.8757231831550598,0.357666015625,0.2,-0.001757620180657026,-0.023358304053544998,1598,4.0779267732913675,0.0003,0.002163049799631923,0.17280226945877075,0.03505764
1000.0,1285.66216317,147,80,1310720,8867,0.9139590263366699,0.37768104243542433,0.2,-0.005655694283833693,-0.016277780756354332,1603,4.1061254286678075,0.0003,0.0029179807438779745,0.17250029742717743,0.03338664
1000.0,1286.8092646800003,149,81,1327104,8869,0.8355745077133179,0.35008500647668395,0.2,0.0013988384677801726,-0.022592930123209953,1607,4.124932358301983,0.0003,0.0035307820309725606,0.17227208614349365,0.045904137
1000.0,1292.15479616,151,82,1343488,8865,0.8672342896461487,0.36756931390977443,0.2,-0.0025760930843819353,-0.016957158222794533,1612,4.1475647517613,0.0003,0.002256225232171469,0.17180852591991425,0.038908347
1000.0,1290.4041553799998,153,83,1359872,8874,0.8856808543205261,0.3165967987804878,0.2,0.007764977505203427,-0.0012409179471433163,1614,4.164234754515857,0.0003,0.002689834899927785,0.17185644805431366,0.026429553
1000.0,1288.31864711,155,84,1376256,8872,0.9381236433982849,0.370546875,0.2,-0.00601057099737227,-0.010942939668893814,1618,4.167299022674561,0.0003,0.0019995002537034454,0.17160755395889282,0.033749294
1000.0,1288.50641948,156,85,1392640,8872,0.9320981502532959,0.37141335227272726,0.2,-0.004035543047145687,-0.023078877478837967,1622,4.179704087430781,0.0003,0.0022203572052107616,0.1715354472398758,0.03320093
1000.0,1295.13667113,158,86,1409024,8876,0.9356014132499695,0.3529076986754967,0.2,0.0019109992446094159,-0.009908275678753853,1625,4.187865626733035,0.0003,0.0020427716385560814,0.17127130925655365,0.031422917
1000.0,1295.80138763,160,87,1425408,8883,0.933882474899292,0.3362298044217687,0.2,0.00294532577370984,0.009666619822382927,1628,4.212839960240993,0.0003,0.0023191641544175593,0.17088651657104492,0.03253458
