time/total_timesteps,rollout/ep_len_mean,time/iterations,time/fps,time/time_elapsed,rollout/ep_rew_mean,train/value_loss,train/learning_rate,train/entropy_loss,train/loss,train/std,train/approx_kl,train/clip_range,train/n_updates,train/explained_variance,train/clip_fraction,train/policy_gradient_loss
311296,1000.0,19,5310,58,1072.19512736,0.0032181452046643245,0.0003,-3.464407068118453,-0.035567548125982285,0.32249167561531067,0.023458827,0.2,180,0.8776761889457703,0.27791748046875,-0.02772399591121939
327680,1000.0,20,5359,61,1085.56037919,0.0036080609828786693,0.0003,-3.3639852192252873,-0.04051857069134712,0.3194381296634674,0.022967247,0.2,190,0.8957956433296204,0.28397216796875,-0.02930475057764852
344064,1000.0,21,5411,63,1105.59109136,0.0027488174904647168,0.0003,-3.2462786987423895,-0.03472813963890076,0.3164830505847931,0.023187697,0.2,200,0.9060229063034058,0.272821044921875,-0.026693174694810296
360448,1000.0,22,5457,66,1122.57032157,0.003726385976551683,0.0003,-3.148005148023367,-0.042563360184431076,0.31415316462516785,0.022895169,0.2,210,0.9012395739555359,0.279486083984375,-0.028544048555340852
376832,1000.0,23,5501,68,1135.1404513500001,0.0036499541314697127,0.0003,-3.061201284453273,-0.03462057188153267,0.31177598237991333,0.022658225,0.2,220,0.9185624718666077,0.271575927734375,-0.028647669199563096
393216,1000.0,24,5538,70,1144.99671459,0.002357444375229534,0.0003,-2.969044180959463,-0.026819156482815742,0.30937039852142334,0.02354016,0.2,230,0.9220377802848816,0.27523193359375,-0.02737778460214031
409600,1000.0,25,5577,73,1157.25565882,0.0026966530336721916,0.0003,-2.881634873896837,-0.040881577879190445,0.3073868453502655,0.023043863,0.2,240,0.9051172733306885,0.274578857421875,-0.02637542314332677
425984,1000.0,26,5611,75,1168.11436137,0.0023659518636122813,0.0003,-2.785908088833094,-0.032137468457221985,0.3046170473098755,0.023182645,0.2,250,0.9146111607551575,0.286236572265625,-0.027427752060611967
442368,1000.0,27,5645,78,1178.6122738600002,0.0022984776840530687,0.0003,-2.7181706834584474,-0.047328460961580276,0.30312708020210266,0.02382078,0.2,260,0.9114835858345032,0.276904296875,-0.024854304119071458
458752,1000.0,28,5675,80,1193.7748489399999,0.0015382365668301645,0.0003,-2.618733029067516,-0.040405213832855225,0.3005998432636261,0.02452413,0.2,270,0.9241455793380737,0.287786865234375,-0.027452863429061836
475136,1000.0,29,5701,83,1203.33175581,0.0015110072476090864,0.0003,-2.5234328284859657,-0.03829498589038849,0.2978646457195282,0.024150353,0.2,280,0.9065806269645691,0.28590087890625,-0.02448196415498387
491520,1000.0,30,5728,85,1208.79172492,0.002130248494722764,0.0003,-2.406218421459198,-0.03734954074025154,0.29521504044532776,0.02499719,0.2,290,0.9387219548225403,0.289947509765625,-0.026447570435266243
507904,1000.0,31,5755,88,1206.1792338200003,0.002484555995579285,0.0003,-2.3053151320666077,-0.04140780493617058,0.29292523860931396,0.023941489,0.2,300,0.8877534866333008,0.2807861328125,-0.0243120100498345
524288,1000.0,32,5779,90,1210.62778541,0.009563319208973553,0.0003,-2.244777376204729,-0.04015233740210533,0.29135769605636597,0.028120436,0.2,310,0.7178599834442139,0.31971435546875,-0.02248872971031233
540672,1000.0,33,5804,93,1212.2189875,0.0026476967004782637,0.0003,-2.163078435882926,-0.027087613940238953,0.2893635928630829,0.023237478,0.2,320,0.8886204957962036,0.2827880859375,-0.026224306877702476
557056,1000.0,34,5825,95,1213.75092372,0.004073773672644165,0.0003,-2.0945643901824953,-0.02801157347857952,0.28786325454711914,0.027112328,0.2,330,0.8351148366928101,0.30487060546875,-0.0245722317158652
573440,1000.0,35,5847,98,1216.71489535,0.0018729381835328241,0.0003,-2.018098775856197,-0.03755871579051018,0.2857246696949005,0.023429448,0.2,340,0.9136399626731873,0.281243896484375,-0.025634501676177025
589824,1000.0,36,5867,100,1222.38001368,0.0020690835704954224,0.0003,-1.938805814832449,-0.017877506092190742,0.28425222635269165,0.026177052,0.2,350,0.8810495138168335,0.30103759765625,-0.0263198867902247
606208,1000.0,37,5887,102,1238.37625873,0.0015781078570398677,0.0003,-1.8633235404267907,-0.02482251450419426,0.28217408061027527,0.025993127,0.2,360,0.893212616443634,0.302508544921875,-0.024306789454931275
622592,1000.0,38,5902,105,1238.27752482,0.0017229199393113959,0.0003,-1.7802125260233879,-0.03332512080669403,0.2802923023700714,0.024903161,0.2,370,0.9125624299049377,0.30413818359375,-0.025208690165891313
638976,1000.0,39,5920,107,1249.46776207,0.0016463520614706795,0.0003,-1.703604525141418,-0.02883722260594368,0.2785269320011139,0.0257509,0.2,380,0.9233922958374023,0.3080810546875,-0.024012882975512184
655360,1000.0,40,5928,110,1256.28327163,0.0011572207959943625,0.0003,-1.6213799068704247,-0.04315968602895737,0.27623143792152405,0.025319766,0.2,390,0.9343402981758118,0.295989990234375,-0.02600400021437963
671744,1000.0,41,5946,112,1258.75648895,0.0010875447524085757,0.0003,-1.5174932984635234,-0.04062247276306152,0.27406811714172363,0.02418674,0.2,400,0.9449478387832642,0.29058837890625,-0.024722959757491482
688128,1000.0,42,5963,115,1263.6683807,0.0012446828157408163,0.0003,-1.4411265341565014,-0.04220059886574745,0.2725231945514679,0.02678985,0.2,410,0.9368595480918884,0.302978515625,-0.025122619274043245
704512,1000.0,43,5979,117,1270.005976,0.0011323263338454126,0.0003,-1.3404042961075902,-0.043092645704746246,0.2701081335544586,0.026339307,0.2,420,0.9400882720947266,0.303741455078125,-0.025730804196427925
720896,1000.0,44,5993,120,1269.99237637,0.0010071282506942225,0.0003,-1.233162402547896,-0.036931321024894714,0.2675383388996124,0.028339349,0.2,430,0.9453560709953308,0.31124267578125,-0.025207670177769613
737280,1000.0,45,6008,122,1272.2343231599998,0.0012984099706045526,0.0003,-1.14286939650774,-0.03350728750228882,0.26600381731987,0.028076028,0.2,440,0.9560192823410034,0.30914306640625,-0.024811219561161123
753664,1000.0,46,6022,125,1275.0779837900002,0.0010037964309503877,0.0003,-1.064983968436718,-0.037174902856349945,0.2637642025947571,0.026889086,0.2,450,0.9466416835784912,0.305426025390625,-0.02401932013044643
770048,1000.0,47,6036,127,1281.0468931599999,0.0007903800536496419,0.0003,-0.9413951330818235,-0.03445817530155182,0.2611885964870453,0.02800565,0.2,460,0.9357422590255737,0.31123046875,-0.023421479866738083
786432,1000.0,48,6049,129,1283.1995594399998,0.0009528132275590905,0.0003,-0.8374116081744433,-0.021752364933490753,0.25884947180747986,0.02789021,0.2,470,0.9349996447563171,0.30826416015625,-0.02450786052722833
802816,1000.0,49,6063,132,1282.0127106599998,0.0010582237216724144,0.0003,-0.7525557157446127,-0.036673177033662796,0.25719138979911804,0.028546307,0.2,480,0.9495446681976318,0.31673924180327867,-0.02266673237146413
819200,1000.0,50,6074,134,1284.9361142299997,0.0010416931538202335,0.0003,-0.6882193872705102,-0.028049131855368614,0.25608110427856445,0.031108785,0.2,490,0.9186983108520508,0.333343505859375,-0.022535304276607347
