time/total_timesteps,rollout/ep_len_mean,time/iterations,time/fps,time/time_elapsed,rollout/ep_rew_mean,train/value_loss,train/learning_rate,train/entropy_loss,train/loss,train/std,train/approx_kl,train/clip_range,train/n_updates,train/explained_variance,train/clip_fraction,train/policy_gradient_loss
737280,1000.0,45,6731,109,554.9024813999999,0.008055214593332494,0.0003,-1.2667530888691545,-0.028138790279626846,0.26872649788856506,0.027327567,0.2,440,0.8663095235824585,0.316339111328125,-0.027674300919898087
753664,1000.0,46,6730,111,563.86388856,0.006564168608747423,0.0003,-1.1740941267460585,-0.030277693644165993,0.26666495203971863,0.028734466,0.2,450,0.8853305578231812,0.324456787109375,-0.02796421708917478
770048,1000.0,47,6730,114,578.95832187,0.009838889283855679,0.0003,-1.1009973607957364,-0.02819177694618702,0.26516464352607727,0.02814946,0.2,460,0.8058473467826843,0.327227783203125,-0.025447578318198792
786432,1000.0,48,6735,116,595.72300825,0.009444460929213142,0.0003,-1.0485072562434379,-0.03983765468001366,0.26403146982192993,0.03026567,0.2,469,0.8314357995986938,0.3333519677996422,-0.02546576261170515
802816,1000.0,49,6736,119,611.19115113,0.005027991623501293,0.0003,-0.9732695202343166,-0.03912074863910675,0.26212266087532043,0.03195093,0.2,479,0.910276472568512,0.34151611328125,-0.028748683275989607
819200,1000.0,50,6750,121,629.3197971200001,0.011543994121893775,0.0003,-0.9302623004519514,-0.0265488363802433,0.2616743743419647,0.029867597,0.2,486,0.7754359841346741,0.33642578125,-0.018783757415284135
835584,1000.0,51,6754,123,648.14984115,0.006522000241747312,0.0003,-0.8579023702293886,-0.04050289839506149,0.25978392362594604,0.030760387,0.2,496,0.8911585807800293,0.3465987203891709,-0.027271966442825073
851968,1000.0,52,6768,125,664.18540394,0.003978471129555637,0.0003,-0.7672899182130645,-0.03238106891512871,0.2574794292449951,0.030994754,0.2,503,0.9383270740509033,0.33979925968109337,-0.026122899580712945
868352,1000.0,53,6779,128,684.9408618,0.005235026573087371,0.0003,-0.6825873153171076,-0.04286482557654381,0.2559504210948944,0.029802827,0.2,511,0.9169431924819946,0.3401995824898785,-0.02381809635053913
884736,1000.0,54,6778,130,704.0295523999998,0.00351215431583114,0.0003,-0.5657848256640137,-0.046372782438993454,0.2533279359340668,0.03237077,0.2,521,0.9333629608154297,0.354656982421875,-0.02877205261174822
901120,1000.0,55,6777,132,723.4920518899999,0.003432341252846527,0.0003,-0.46297803283669053,-0.03989403694868088,0.2513439655303955,0.0299096,0.2,531,0.9160186052322388,0.346710205078125,-0.028023150358785644
917504,1000.0,56,6786,135,741.1525942499998,0.0033843903260126914,0.0003,-0.3833315361385943,-0.019094454124569893,0.24943037331104279,0.029411249,0.2,539,0.9388900995254517,0.3434060053816047,-0.024480010353214673
933888,1000.0,57,6784,137,758.8309406200001,0.002743634526632377,0.0003,-0.2732199479825795,-0.010577219538390636,0.24728763103485107,0.03178245,0.2,549,0.9416126608848572,0.357403564453125,-0.027908906607990502
950272,1000.0,58,6784,140,775.7280628199999,0.002956812397496833,0.0003,-0.19517592540942133,-0.04696238413453102,0.2458523064851761,0.030928403,0.2,559,0.950985312461853,0.348223876953125,-0.026725762367641438
966656,1000.0,59,6785,142,788.6199808899999,0.00437353589293983,0.0003,-0.12462740096143564,-0.03333677351474762,0.24441252648830414,0.032662332,0.2,569,0.9260910153388977,0.36319840946166393,-0.02423242661991076
983040,1000.0,60,6804,144,807.1675381700001,0.010044302150387974,0.0003,-0.05674524167004753,-0.012187715619802475,0.24288147687911987,0.03504933,0.2,575,0.8786540031433105,0.3552045036764706,-0.012396212116650799
999424,1000.0,61,6801,146,822.1970843700001,0.0017431333360946155,0.0003,0.03668206110596657,-0.019997121766209602,0.24106447398662567,0.030637227,0.2,585,0.9323146343231201,0.36026611328125,-0.024960158221801976
1015808,1000.0,62,6807,149,837.52347931,0.002106318304012187,0.0003,0.13451669688391335,-0.030121397227048874,0.23899312317371368,0.03503413,0.2,594,0.9585857391357422,0.3578024471507353,-0.023709925544715266
1032192,1000.0,63,6817,151,859.96537014,0.002232482071862687,0.0003,0.23107267295882714,-0.03226825222373009,0.23691444098949432,0.03129849,0.2,601,0.9498326778411865,0.3516950650452489,-0.02205450309975688
1048576,1000.0,64,6823,153,873.5844291299999,0.0020760227878734664,0.0003,0.3447465736852776,-0.034744925796985626,0.23488450050354004,0.03316557,0.2,610,0.9588601589202881,0.3474179759704251,-0.024533150085831637
1064960,1000.0,65,6821,156,886.8834272099999,0.0022895522160979453,0.0003,0.42142250053584573,-0.01835000142455101,0.2334650754928589,0.03205874,0.2,620,0.9603953957557678,0.35255126953125,-0.02627394246082986
1081344,1000.0,66,6833,158,894.36982355,0.0032388292399275938,0.0003,0.5230573943663415,-0.010464228689670563,0.23116713762283325,0.029630123,0.2,627,0.9452728033065796,0.3358743504618938,-0.017034278713665713
1097728,1000.0,67,6832,160,907.4961916899999,0.002121378496667603,0.0003,0.621092570386827,-0.02897830680012703,0.2296043187379837,0.032129623,0.2,637,0.9374951124191284,0.360406494140625,-0.023124554131209153
1114112,1000.0,68,6838,162,911.6326504400001,0.0025722711032862403,0.0003,0.6923345591887892,-0.03218403086066246,0.22830724716186523,0.033190336,0.2,645,0.9468389749526978,0.35853570532128515,-0.01986637104949708
1130496,1000.0,69,6835,165,924.1311559099998,0.0033378951069607866,0.0003,0.744913161918521,-0.033373430371284485,0.22742290794849396,0.034015432,0.2,655,0.9443906545639038,0.35921630859375,-0.019654936044025816
1146880,1000.0,70,6842,167,935.2530634999999,0.0014637394837698904,0.0003,0.8212212953577398,-0.022343218326568604,0.22553353011608124,0.033072952,0.2,663,0.9653102159500122,0.36097964211618255,-0.023024284486616364
1163264,1000.0,71,6853,169,944.2083493499999,0.003259247793706463,0.0003,0.8928091443286222,-0.01991605944931507,0.224439337849617,0.032657463,0.2,670,0.9298585653305054,0.36857536764705884,-0.01773813333362341
1179648,1000.0,72,6883,171,957.7410024099997,0.004801044025138688,0.0003,0.9298023990730742,-0.010602585971355438,0.22393347322940826,0.043666434,0.2,672,0.902902364730835,0.277402052238806,0.005130762288193983
1196032,1000.0,73,6899,173,969.3001527100001,0.0017801813957692117,0.0003,0.9937505561002293,-0.02216852456331253,0.22240562736988068,0.041846946,0.2,678,0.9646348357200623,0.3536490683229814,-0.013875518552380504
1212416,1000.0,74,6911,175,985.5745008700001,0.0012435869882246116,0.0003,1.1001180915089397,-0.03330899402499199,0.2203512191772461,0.047240645,0.2,685,0.9592281579971313,0.3624391233766234,-0.018128819157696003
1228800,1000.0,75,6914,177,997.8001677499998,0.0012644315693514851,0.0003,1.2205694959979916,-0.03235956281423569,0.21820604801177979,0.03856539,0.2,694,0.9603086113929749,0.36659816247582205,-0.020854225933886847
1245184,1000.0,76,6925,179,1007.9057128200001,0.002011328852256698,0.0003,1.301312227383294,-0.03892438858747482,0.21707910299301147,0.03315307,0.2,701,0.956415593624115,0.35093310421994883,-0.016221825379397137
1261568,1000.0,77,6938,181,1021.9055958200001,0.0015477969795220385,0.0003,1.3609218621811672,-0.018069637939333916,0.2157246619462967,0.03262114,0.2,707,0.9622509479522705,0.3583356176900585,-0.014135200102753633
1277952,1000.0,78,6954,183,1029.6369321700001,0.002201681087049812,0.0003,1.4232093411804045,-0.012126680463552475,0.21475084125995636,0.029324926,0.2,712,0.9646527171134949,0.3361079068791946,-0.009595909791892307
1294336,1000.0,79,6958,186,1040.7400170299998,0.001811912480957777,0.0003,1.4778836642557185,-0.02620900794863701,0.213860884308815,0.045143142,0.2,721,0.9490800499916077,0.35967958089668617,-0.0158887353560526
1310720,1000.0,80,6973,187,1044.08148259,0.0015777385669449966,0.0003,1.5365024916330974,-0.03584698960185051,0.21268600225448608,0.029273992,0.2,726,0.9618657231330872,0.33109375,-0.010855632989744967
1327104,1000.0,81,6975,190,1052.97827899,0.0017266566807892724,0.0003,1.6065005413604347,-0.03776494786143303,0.21166320145130157,0.03136628,0.2,735,0.94595867395401,0.34262579690346084,-0.015025482911876113
1343488,1000.0,82,6986,192,1068.11584144,0.0011002677215696116,0.0003,1.6614702513520148,-0.03036285750567913,0.21058940887451172,0.032955788,0.2,741,0.9606113433837891,0.35902288732394366,-0.012805029442927367
1359872,1000.0,83,7000,194,1076.3514293699998,0.0008970305703099401,0.0003,1.736285150051117,-0.03492026776075363,0.20907717943191528,0.029052904,0.2,746,0.9738338589668274,0.3421695106907895,-0.010620650635437892
