time/fps,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/iterations,train/value_loss,train/loss,train/approx_kl,train/n_updates,train/policy_gradient_loss,train/clip_fraction,train/learning_rate,train/clip_range,train/entropy_loss,train/std,train/explained_variance,eval/mean_ep_length,eval/mean_reward
6344,131,1000.0,835584,568.7100637599999,51,0.0007167803956463104,-0.025458773598074913,0.036419995,500,-0.02473514084413182,0.36322021484375,0.0003,0.2,0.2677509369794279,0.2355087250471115,0.9634885787963867,,
6348,134,1000.0,851968,572.02601698,52,0.0007253028880768398,-0.03061198629438877,0.03763462,510,-0.02319672517296567,0.377972412109375,0.0003,0.2,0.42377451909706,0.23289649188518524,0.9634509086608887,,
6360,136,1000.0,868352,576.5447888699999,53,0.0007265802709071068,-0.03649299964308739,0.039656714,520,-0.023587233280704823,0.379815673828125,0.0003,0.2,0.5479900607839227,0.23060385882854462,0.9574580788612366,,
6373,138,1000.0,884736,580.5663826100001,54,0.0005223534983997524,-0.03754125162959099,0.03782098,530,-0.022598940108218814,0.394427490234375,0.0003,0.2,0.6936026888899505,0.22768951952457428,0.9631444811820984,,
,,,900000,,,0.0004560244770800637,-0.03471076488494873,0.038722,540,-0.02333874092037149,0.3898193359375,0.0003,0.2,0.8279087683185935,0.22523711621761322,0.9487727284431458,1000.0,644.2264056
6317,142,1000.0,901120,585.55742025,55,,,,,,,,,,,,,
6327,144,1000.0,917504,589.09341691,56,0.0006427329298503536,-0.03185069188475609,0.037764475,550,-0.021952779019920855,0.390655517578125,0.0003,0.2,0.9473961335606873,0.22279225289821625,0.9573739171028137,,
6339,147,1000.0,933888,594.08938122,57,0.00045494558792142926,-0.03442177176475525,0.039837442,560,-0.02114875266524905,0.396307373046875,0.0003,0.2,1.08943273704499,0.22018307447433472,0.9636319279670715,,
6341,149,1000.0,950272,598.8046845399999,58,0.0004456265549379168,-0.03033609874546528,0.039038647,570,-0.02256782181739254,0.388897705078125,0.0003,0.2,1.2374392587691545,0.21761079132556915,0.9751333594322205,,
6353,152,1000.0,966656,603.07275867,59,0.00040075649758364307,-0.026007359847426414,0.037573148,580,-0.021740859545388957,0.37891845703125,0.0003,0.2,1.3595703605562448,0.21602453291416168,0.9696512818336487,,
6364,154,1000.0,983040,607.87267936,60,0.0005463251326432328,-0.037404969334602356,0.03809259,590,-0.02194602663585101,0.3864013671875,0.0003,0.2,1.4228723196312785,0.21444499492645264,0.9589042663574219,,
6375,156,1000.0,999424,612.1029165,61,0.00031327698957284156,-0.0174119733273983,0.03783548,600,-0.020259785503003513,0.388323974609375,0.0003,0.2,1.5325960731133819,0.21275854110717773,0.9609037637710571,,
,,,1000000,,,0.00038083739674448224,-0.03247152641415596,0.040722653,610,-0.022222173259069677,0.397381591796875,0.0003,0.2,1.647475983388722,0.21016602218151093,0.9792619943618774,1000.0,661.996443
6324,160,1000.0,1015808,615.77940478,62,,,,,,,,,,,,,
