time/time_elapsed,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,time/total_timesteps,train/policy_gradient_loss,train/n_updates,train/clip_range,train/entropy_loss,train/clip_fraction,train/value_loss,train/learning_rate,train/approx_kl,train/loss,train/std,train/explained_variance
234,8733,930.1073436500003,898.07,125,2048000,0.013001492959588315,1758,0.2,3.5133719877763228,0.34156013257575757,0.05473579923537644,0.0003,0.039732218,0.028797361999750137,0.1811765879392624,0.8501224517822266
236,8741,889.9357681500001,861.16,126,2064384,0.013589416819741018,1759,0.2,3.5120550245046616,0.31768798828125,0.07021117937983945,0.0003,0.02421474,0.07855367660522461,0.1811397671699524,0.8648068904876709
238,8741,846.3098875999998,823.82,127,2080768,-0.0030458894286429484,1763,0.2,3.511720414367019,0.36627168062200954,0.06651291837603852,0.0003,0.036335755,0.021728718653321266,0.18114082515239716,0.8604552745819092
239,8748,809.2458429499998,792.91,128,2097152,0.009987613903683459,1765,0.2,3.5021864952043047,0.3457485465116279,0.06433125559327214,0.0003,0.0319012,0.04862106963992119,0.18132972717285156,0.8604823350906372
241,8747,772.7049879,776.24,129,2113536,-0.0022265767308897407,1769,0.2,3.4895068149470805,0.36410568467336685,0.09159992818706598,0.0003,0.039801,0.027114778757095337,0.18155688047409058,0.8462889194488525
243,8747,768.70271526,765.65,130,2129920,-0.004728719986030629,1773,0.2,3.4790246633556783,0.3711863151658768,0.06991938492768748,0.0003,0.03443755,0.007793666794896126,0.1815767139196396,0.85832679271698
245,8752,761.9564041599999,745.76,131,2146304,0.007880391808479879,1775,0.2,3.482500208234324,0.3522072208737864,0.07620313640647722,0.0003,0.03229011,0.04007217660546303,0.1814357489347458,0.8598315119743347
246,8759,742.2709552100001,723.49,132,2162688,0.012019112827383901,1777,0.2,3.4902097754282493,0.3304794520547945,0.0684353731164377,0.0003,0.035605226,0.019097961485385895,0.18140751123428345,0.8641011714935303
248,8765,752.02109377,729.09,133,2179072,0.008165594374576767,1779,0.2,3.491599289925544,0.3198403159340659,0.06413600159870399,0.0003,0.028046038,0.040167052298784256,0.18150432407855988,0.8706223964691162
250,8773,747.0371977599998,739.24,134,2195456,0.015177775372533089,1780,0.2,3.4905559204994363,0.3277094414893617,0.09194034496520428,0.0003,0.025480539,0.06726591289043427,0.18143689632415771,0.8082993626594543
252,8769,773.74930389,760.37,135,2211840,-0.0031745119456281054,1784,0.2,3.4979558041755188,0.35994015957446807,0.07546490689224385,0.0003,0.0321319,0.01745738834142685,0.18136560916900635,0.8607288002967834
253,8776,771.95423251,756.9,136,2228224,0.015196658807861455,1786,0.2,3.495778977870941,0.36345358455882354,0.05727463001933168,0.0003,0.04073531,0.05339355394244194,0.18142123520374298,0.8514659404754639
